district,message,timestamp,sentiment,emotion,topic
Sydney CBD,Trains are delayed again 😡,2025-08-30 08:15,NEGATIVE,sadness,Traffic
Bondi,Air feels fresh after the rain,2025-08-30 12:00,POSITIVE,joy,Environment
Chatswood,So happy with the new bike lanes,2025-08-30 09:45,POSITIVE,joy,Environment
Newtown,Rent is impossible here 😤,2025-08-30 10:20,NEGATIVE,neutral,Rent
Parramatta,The smog is really bad today 🤢,2025-08-30 11:00,NEGATIVE,disgust,Pollution
Bondi,Garbage bins have not been collected for 3 days,2025-08-30 11:30,NEGATIVE,neutral,Waste
Sydney CBD,Street lights are broken and it feels unsafe at night 💡,2025-08-30 12:10,NEGATIVE,fear,Environment
Chatswood,Too many stray dogs around the park,2025-08-30 12:40,NEGATIVE,sadness,Environment
Parramatta,Hospitals are overcrowded and waiting times are endless 🏥,2025-08-30 13:00,NEGATIVE,sadness,Healthcare
Newtown,Bus schedules are completely unreliable 😡,2025-08-30 13:30,NEGATIVE,sadness,Transport
